boat boats
house houses
cat cats
river rivers
bus buses
wish wishes
pitch pitches
box boxes
penny pennies
spy spies
baby babies
city cities
daisy daisies
woman women
man men
child children
tooth teeth
foot feet
person people
leaf leaves
mouse mice
goose geese
half halves
knife knives
wife wives
life lives
elf elves
loaf loaves
potato potatoes
tomato tomatoes
cactus cacti
focus foci
fungus fungi
nucleus nuclei
sheep sheep
fish fish
deer deer
species species
aircraft aircraft
